objid,ra,dec,u,g,r,i,z,redshift
1237649919504875727,20.3750368465361,14.2509770802647,19.49188,18.32951,17.77716,17.43389,17.22027,0.07306586
1237649919506907246,25.1365073417101,13.8586031243675,19.13085,17.43543,16.42093,15.82468,15.38362,0.0730643
1237666407921549544,36.6057122969634,-0.0186907998860445,18.68879,16.95583,16.16774,15.7712,15.47455,0.07305619
1237670956789465241,27.3103555890334,-8.95174382549376,18.71145,17.32627,16.73911,16.36878,16.14629,0.07305519
1237649862593413280,10.0377912076173,14.1088677227423,19.41224,17.2498,16.19848,15.67778,15.28349,0.07303512
1237663783124533428,2.05539004810176,-0.65396858834185,19.47547,18.16275,17.64628,17.33091,17.16778,0.07302471
1237652901827444797,12.8936872209865,-8.88760259331261,18.84954,17.61893,17.00245,16.6441,16.40435,0.07302139
1237653652914896912,14.6345153847049,15.5375718843443,19.87466,18.12715,17.24063,16.76241,16.43807,0.07301866
1237663782590873737,9.30938316448161,-1.09837527364531,18.46831,16.95758,16.24178,15.86793,15.58508,0.07301825
1237678434864791735,6.15512936841866,1.055332710666,18.37933,17.17534,16.66053,16.34162,16.10929,0.07301753
1237678617434652769,38.3506854645052,0.927686495758713,18.96182,17.60195,16.8834,16.50566,16.24026,0.07301068
1237663783124664477,2.34462104261582,-0.692111385982682,19.47049,17.57327,16.65221,16.23163,15.91433,0.07300812
1237653650770100436,20.9651888367312,13.4994541253041,20.01407,18.3472,17.50347,17.0672,16.73552,0.07299641
1237657587096486069,37.4931298922749,0.706139673519218,18.60714,16.97573,16.17785,15.78301,15.47328,0.07299235
1237649918970953889,27.2409390094123,13.1395321475211,19.26038,17.18957,16.19066,15.74128,15.39874,0.072992
1237652900772053257,55.2150162374691,-6.37180527388198,19.18621,17.26186,16.36016,15.93351,15.59385,0.07297488
1237649920044695804,27.3234232752922,14.0400901727021,20.19933,18.30893,17.31898,16.79971,16.41408,0.07297239
1237653650772656348,26.9226133186684,13.0284829958515,20.13044,18.26406,17.32248,16.88159,16.52897,0.07297237
1237670955713560659,22.2815685731094,-10.1583229034553,19.11335,17.148,16.26065,15.84139,15.49564,0.07297108
1237649961380872317,48.9260610068511,-8.11801284856574,19.35765,18.18062,17.61772,17.26924,17.10362,0.07295766
1237653651843842258,20.9479346972411,14.2428227231456,18.38259,16.47465,15.51295,15.00959,14.62061,0.07294239
1237666089514500273,18.1365062953068,14.1116319047233,20.11327,18.33894,17.42456,16.96562,16.56512,0.07293421
1237653650772918369,27.4284596016421,13.0267261213351,19.48149,18.06549,17.30385,16.86399,16.52149,0.07293007
1237652901305254032,46.6813712289644,-6.90515172229921,20.02466,18.30832,17.65747,17.31417,17.02475,0.07292579
1237649920043581751,24.6518155594096,14.2555584460653,19.742,18.3171,17.71406,17.38954,17.27114,0.07292461
1237649919509135566,30.3942184627435,13.3222419415656,19.01594,17.81241,17.33496,16.99383,16.85124,0.07291637
1237652948531871840,14.360292512598,-9.08689451853163,19.87116,17.87041,16.94875,16.53485,16.18779,0.07290925
1237653651308740805,25.0968029623699,13.5225387310643,18.28144,16.78503,15.9797,15.54248,15.23775,0.07290539
1237663783676084437,35.5134606182791,-0.361812404949301,19.9192,18.48529,17.70963,17.17418,16.91436,0.07290295
1237666299484766462,56.916640494118,-0.847372107596076,20.1698,18.48219,17.77937,17.28196,17.02262,0.07290133
1237652899682123900,18.0376531092673,-10.3811380597626,19.4707,17.61926,16.72667,16.29164,15.97162,0.07290027
1237652900224499887,30.6842213471791,-9.31492258717792,18.58509,16.67971,15.77324,15.34042,15.03448,0.07289146
1237663782595068007,18.9501599704759,-1.10499167832192,19.07338,17.15158,16.3244,15.83891,15.54261,0.07288947
1237657070090059864,38.0374082128776,-0.512679216560965,19.15413,18.00014,17.40022,17.07594,16.8515,0.07288555
1237652949065859190,7.66502423258227,-8.90347655036055,19.44484,17.74288,16.89795,16.4432,16.07515,0.07288247
1237657191446085804,9.1897994842048,0.244585080490083,18.71619,17.03509,16.24431,15.83298,15.52738,0.07287142
1237670955717296255,30.8951050217419,-9.54463579489308,20.049,18.14067,17.23896,16.82336,16.50449,0.07286761
1237666408457175182,33.7730586126826,0.362099953642879,19.46872,17.62407,16.77933,16.37545,16.07518,0.07286733
1237653500970270834,38.7754519348894,-8.79676573459116,18.80812,17.58429,16.93598,16.51676,16.30318,0.07286517
1237649919507628240,26.8522499106311,13.5972476414442,18.65694,16.77747,15.83458,15.40269,15.06354,0.07285753
1237663783124467900,1.86134494637999,-0.705995165136085,17.75664,16.45879,15.82294,15.44225,15.1888,0.07285494
1237666338116272256,18.9753169931077,-1.03495816915956,18.98263,17.75095,17.23312,16.92752,16.73789,0.07285465
1237663784200831188,7.89954398277508,0.16712404431451,19.51412,17.55667,16.65096,16.20826,15.89914,0.07285289
1237663783124664435,2.26126373615357,-0.794087109741074,18.68781,16.61922,15.69499,15.25773,14.94446,0.07284614
1237663237122621559,36.9543539001031,-1.17641978342735,19.38098,17.46085,16.55758,16.16258,15.84672,0.07284256
1237663237131272319,56.8335429752828,-1.08357542472702,20.16839,18.12616,17.02911,16.48396,16.05293,0.07284015
1237652947460620394,20.1660960734498,-9.76724290748004,19.02883,17.4202,16.75591,16.36902,16.17104,0.07284
1237653650772197641,25.8557984438619,13.1807112508513,19.47198,18.25488,17.72513,17.38978,17.17636,0.07283361
1237657191446020261,9.05756226254562,0.310351558390242,19.37163,17.65796,16.79973,16.37965,16.07531,0.07283327
1237666091125113115,16.9713548874905,14.2486377122359,19.18913,17.36484,16.51904,16.10559,15.76795,0.07283264
1237663784750678193,37.4986354357679,0.615402537159523,20.11462,18.40023,17.60149,17.17084,16.86876,0.07283232
1237652616742174790,24.7063829415158,-9.72276843964291,18.82359,16.75853,15.85149,15.43175,15.09236,0.07282726
1237653650772852747,27.2958062021784,13.0686069562509,20.30621,18.81684,17.87664,17.29305,17.03336,0.07282138
